Word,Upper,BE_TWord,AM_TWord,RatperWord,AoAestimate,SD,min,max,unknown,AoALikert,SDLikert,minLikert,maxLikert
erleiden,ERLEIDEN,suffer,suffer,23,7.43,1.88,4,11,1,4.00,0.95,2,6
Erlös,ERLÖS,proceeds,proceeds,18,9.94,3.42,2,14,0,5.28,1.64,1,7
Erlösung,ERLÖSUNG,redemption,redemption,24,9.38,2.68,6,14,0,4.75,1.33,3,7
ermitteln,ERMITTELN,investigate,investigate,14,7.21,1.53,4,9,0,3.86,0.86,2,5
ernst,ERNST,earnest,earnest,25,5.72,1.86,3,12,0,3.04,0.93,2,6
Ernstfall,ERNSTFALL,emergency,emergency,24,9.29,1.97,7,13,0,4.83,0.96,4,7
ernsthaft,ERNSTHAFT,seriously,seriously,17,7.29,3.06,4,13,0,3.94,1.48,2,7
ernstlich,ERNSTLICH,genuinely,genuinely,20,10.70,3.28,3,17,3,5.45,1.39,2,7
Ernte,ERNTE,harvest,harvest,19,5.37,1.86,3,10,0,2.84,0.90,2,5
ernten,ERNTEN,harvest,harvest,19,4.89,2.42,2,12,0,2.68,1.16,1,6
erreichen,ERREICHEN,reach,reach,17,6.24,2.11,3,11,0,3.35,1.06,2,6
errichten,ERRICHTEN,construct,construct,24,7.96,2.35,4,14,0,4.13,1.19,2,7
Errichtung,ERRICHTUNG,construction,construction,24,9.46,3.87,5,23,0,4.75,1.36,3,7
ersetzen,ERSETZEN,substitute,substitute,26,7.00,1.65,4,9,0,3.77,0.95,2,5
erteilen,ERTEILEN,grant,grant,18,9.17,3.37,3,15,0,4.72,1.53,2,7
erwarten,ERWARTEN,expect,expect,22,6.59,2.50,3,12,0,3.55,1.26,2,6
Erwartung,ERWARTUNG,expectation,expectation,26,7.67,2.51,2,12,0,4.04,1.22,1,6
erweitern,ERWEITERN,widen,widen,17,8.59,2.79,4,13,0,4.47,1.42,2,7
Erwerb,ERWERB,acquisition,acquisition,24,10.04,2.22,6,14,0,5.21,1.10,3,7
erwerben,ERWERBEN,acquire,acquire,20,8.65,3.75,3,19,0,4.45,1.57,2,7
erzählen,ERZÄHLEN,narrate,narrate,19,3.00,1.76,1,8,0,1.68,0.89,1,4
erzielen,ERZIELEN,obtain,obtain,18,7.83,2.79,5,15,0,4.00,1.24,3,7
Esel,ESEL,donkey,donkey,27,3.48,1.19,1,6,0,1.96,0.52,1,3
Espresso,ESPRESSO,espresso,espresso,19,11.00,3.61,6,20,0,5.37,1.26,3,7
essen,ESSEN,eat,eat,14,2.57,1.45,1,6,0,1.57,0.76,1,3
Essenszeit,ESSENSZEIT,mealtime,mealtime,24,4.04,1.49,1,7,0,2.33,0.82,1,4
Essenz,ESSENZ,essence,essence,26,12.04,3.57,6,18,0,5.85,1.35,3,7
Essig,ESSIG,vinegar,vinegar,21,5.62,1.75,2,9,0,3.10,0.94,1,5
Ethik,ETHIK,ethics,ethics,25,12.48,3.61,6,18,0,5.96,1.37,3,7
etwa,ETWA,approximately,approximately,20,5.45,2.11,2,10,0,2.90,1.07,1,5
etwas,ETWAS,something,something,14,5.64,2.62,2,10,0,2.93,1.21,1,5
Eule,EULE,owl,owl,16,3.28,1.39,1,6,0,1.88,0.72,1,3
Euphorie,EUPHORIE,euphoria,euphoria,25,12.08,3.21,6,17,0,5.88,1.27,3,7
Euro,EURO,euro,euro,20,14.35,5.05,5,24,0,6.15,1.50,3,7
Euter,EUTER,udder,udder,17,4.94,1.64,2,8,0,2.76,0.90,1,4
ewig,EWIG,eternal,eternal,14,6.36,2.27,3,11,0,3.36,1.15,2,6
Ewigkeit,EWIGKEIT,eternity,eternity,22,7.86,3.27,4,15,0,4.09,1.60,2,7
exakt,EXAKT,exact,exact,27,9.59,3.14,4,16,0,4.93,1.54,2,7
Existenz,EXISTENZ,existence,existence,19,9.84,3.17,4,15,0,5.11,1.52,2,7
exklusiv,EXKLUSIV,exclusive,exclusive,19,10.21,2.70,5,16,0,5.16,1.21,3,7
Experiment,EXPERIMENT,experiment,experiment,15,7.93,3.47,3,13,0,4.13,1.73,2,7
Explosion,EXPLOSION,explosion,explosion,20,6.40,3.14,3,12,0,3.35,1.46,2,6
Fabel,FABEL,fable,fable,27,7.85,3.32,3,14,0,4.07,1.62,2,7
fabelhaft,FABELHAFT,marvellous,marvelous,24,6.54,1.98,3,10,0,3.46,0.98,2,5
Fabelwesen,FABELWESEN,mythical creature,mythical creature,16,6.63,2.19,4,11,0,3.50,1.15,2,6
Fabrik,FABRIK,factory,factory,14,6.43,2.14,3,10,0,3.43,0.94,2,5
Faden,FADEN,thread,thread,20,4.45,1.61,2,8,0,2.45,0.83,1,4
Fähigkeit,FÄHIGKEIT,ability,ability,19,7.79,3.17,4,18,0,3.95,1.27,2,7
Fahne,FAHNE,banner,banner,25,5.16,2.01,2,12,0,2.88,1.01,1,6
Fähre,FÄHRE,ferry,ferry,23,6.96,2.60,4,14,0,3.70,1.26,2,7
fahren,FAHREN,drive,drive,17,3.47,1.42,1,6,0,1.88,0.70,1,3
Fahrer,FAHRER,driver,driver,531,4.72,1.88,1,12,0,2.58,0.94,1,6
Fahrrad,FAHRRAD,bicycle,bicycle,25,3.80,1.50,2,9,0,2.12,0.83,1,5
Fahrt,FAHRT,car ride,car ride,25,4.76,2.35,2,12,0,2.52,1.19,1,6
Faible,FAIBLE,liking,liking,19,12.63,2.45,7,16,0,6.32,1.06,4,7
fair,FAIR,fair,fair,18,7.11,3.94,3,17,0,3.67,1.57,2,7
Fairness,FAIRNESS,fairness,fairness,14,8.79,3.04,4,15,0,4.50,1.51,2,7
Fakt,FAKT,fact,fact,15,10.07,2.79,4,13,0,5.20,1.37,2,7
Faktor,FAKTOR,factor,factor,23,9.83,3.01,5,16,0,5.00,1.35,3,7
Fakultät,FAKULTÄT,faculty,faculty,27,15.11,4.20,5,25,0,6.56,1.09,3,7
Falke,FALKE,falcon,falcon,14,6.29,2.27,2,10,0,3.29,1.07,1,5
Fall,FALL,fall,fall,17,6.12,2.78,2,13,0,3.29,1.45,1,7
Falle,FALLE,trap,trap,17,5.59,2.00,2,9,0,3.00,1.00,1,5
fallen,FALLEN,fall,fall,19,2.95,1.03,2,5,0,1.58,0.61,1,3
fällig,FÄLLIG,payable,payable,19,9.84,2.95,3,16,0,4.95,1.31,2,7
Falte,FALTE,wrinkle,wrinkle,17,5.88,2.06,3,10,0,3.18,1.07,2,5
faltig,FALTIG,wrinkled,wrinkled,19,5.79,1.96,2,10,0,3.05,0.97,1,5
Familie,FAMILIE,family,family,19,3.63,1.77,2,10,0,2.11,0.88,1,5
fanatisch,FANATISCH,fanatic,fanatic,16,10.69,3.22,4,15,0,5.44,1.50,2,7
Fang,FANG,catch,catch,18,6.50,2.28,2,11,0,3.50,1.20,1,6
Fangemeinde,FANGEMEINDE,fan club,fan club,24,10.63,4.40,4,20,0,5.13,1.36,2,7
fangen,FANGEN,catch,catch,19,2.84,1.01,2,6,0,1.63,0.60,1,3
Fantasie,FANTASIE,fantasy,fantasy,10,4.60,1.43,2,7,0,2.60,0.84,1,4
Farbe,FARBE,colour,color,19,3.16,0.96,2,5,0,1.84,0.60,1,3
Farce,FARCE,farce,farce,22,12.64,2.59,8,17,2,6.18,0.91,4,7
Farm,FARM,farm,farm,18,5.89,3.29,2,13,0,3.17,1.65,1,7
Farmer,FARMER,farmer,farmer,26,8.96,3.14,3,15,0,4.58,1.53,2,7
Farmhaus,FARMHAUS,farmhouse,farmhouse,17,8.59,3.30,2,13,0,4.41,1.66,1,7
Fasan,FASAN,pheasant,pheasant,18,6.61,3.01,2,14,0,3.44,1.46,1,7
Fass,FASS,barrel,barrel,19,5.79,2.57,2,11,0,3.21,1.32,1,6
Fassade,FASSADE,façade,façade,19,8.84,2.71,4,14,0,4.68,1.34,2,7
fassen,FASSEN,grasp,grasp,26,4.65,1.85,2,9,0,2.58,0.99,1,5
Fassung,FASSUNG,composure,composure,17,8.88,2.93,4,14,0,4.65,1.46,2,7
faul,FAUL,lazy,lazy,18,5.00,1.88,2,9,0,2.78,1.00,1,5
faulenzen,FAULENZEN,laze about,laze about,18,6.33,2.33,3,12,0,3.44,1.04,2,6
Faulpelz,FAULPELZ,lazybones,lazybones,16,5.94,1.84,3,10,0,3.19,0.91,2,5
Faust,FAUST,fist,fist,23,4.57,1.47,1,8,0,2.52,0.67,1,4
Fax,FAX,fax,fax,18,12.39,5.29,6,22,0,5.61,1.46,3,7
Feder,FEDER,feather,feather,26,4.42,1.55,2,8,0,2.46,0.71,1,4
Fee,FEE,fairy,fairy,24,3.63,1.13,2,6,0,2.00,0.66,1,3
Fehde,FEHDE,feud,feud,17,11.71,2.28,8,16,2,6.00,0.94,4,7
fehlen,FEHLEN,miss,miss,25,4.72,1.72,2,8,0,2.52,0.92,1,4
Fehler,FEHLER,mistake,mistake,20,4.00,0.65,3,5,0,2.20,0.41,2,3
Feier,FEIER,celebration,celebration,16,5.38,2.25,2,11,0,2.88,1.15,1,6
Feierabend,FEIERABEND,finishing time,finishing time,19,7.05,3.41,3,15,0,3.63,1.57,2,7
feierlich,FEIERLICH,solemn,solemn,25,6.80,2.38,4,14,0,3.64,1.22,2,7
feiern,FEIERN,celebrate,celebrate,10,4.90,2.13,2,10,0,2.70,1.06,1,5
Feiertag,FEIERTAG,bank holiday,bank holiday,24,6.08,1.79,3,10,0,3.25,0.85,2,5
Feigling,FEIGLING,coward,coward,26,5.35,1.44,3,8,0,2.88,0.71,2,4
Feile,FEILE,file,file,19,6.11,1.91,3,10,0,3.21,0.85,2,5
Feld,FELD,field,field,17,3.71,1.83,0,7,0,2.12,0.93,1,4
Fenster,FENSTER,window,window,19,2.84,1.42,1,6,0,1.68,0.75,1,3
Ferien,FERIEN,holidays,holidays,27,5.15,1.32,1,7,0,2.74,0.71,1,4
Fernrohr,FERNROHR,telescope,telescope,14,5.50,1.16,4,8,0,2.93,0.62,2,4
Fernsehen,FERNSEHEN,television,television,27,4.59,2.10,1,10,0,2.52,0.94,1,5
Ferse,FERSE,heel,heel,26,4.88,2.14,2,12,0,2.65,1.02,1,6
festlegen,FESTLEGEN,determine,determine,20,7.70,2.66,4,14,0,3.95,1.32,2,7
Festtag,FESTTAG,special day,special day,23,6.70,2.75,2,15,0,3.43,1.31,1,7
Festung,FESTUNG,fortress,fortress,22,6.77,2.31,3,12,0,3.68,1.13,2,6
fett,FETT,fat,fat,15,4.87,1.46,3,8,0,2.60,0.63,2,4
feucht,FEUCHT,moist,moist,18,3.94,1.63,1,6,0,2.22,0.81,1,3
Feuer,FEUER,fire,fire,19,3.00,1.15,1,5,0,1.79,0.63,1,3
Fiasko,FIASKO,fiasco,fiasco,26,11.35,2.61,4,16,0,5.73,1.19,2,7
Fibel,FIBEL,reader,reader,18,5.39,0.78,4,6,1,2.83,0.38,2,3
Fieber,FIEBER,fever,fever,19,5.00,2.69,1,12,0,2.74,1.19,1,6
Figur,FIGUR,shape,shape,10,5.00,1.41,3,7,0,2.70,0.67,2,4
Filet,FILET,filet,filet,27,10.67,3.97,5,25,0,5.22,1.22,3,7
Film,FILM,film,film,18,4.67,2.52,1,10,0,2.56,1.20,1,5
Filmstar,FILMSTAR,film star,film star,19,8.42,2.61,4,15,0,4.32,1.20,2,7
Filter,FILTER,filter,filter,17,7.82,3.71,2,15,0,4.00,1.84,1,7
Filz,FILZ,felt,felt,17,6.18,3.30,2,14,0,3.18,1.63,1,7
filzen,FILZEN,frisk,frisk,21,9.14,3.20,4,14,0,4.86,1.59,2,7
Filzstift,FILZSTIFT,felt tip pen,felt tip pen,19,4.79,3.74,1,18,0,2.47,1.47,1,7
Finale,FINALE,finale,finale,14,9.50,2.74,5,16,0,4.86,1.17,3,7
finanziell,FINANZIELL,financial,financial,14,11.29,1.94,8,16,0,5.71,0.83,4,7
finden,FINDEN,find,find,17,3.53,1.70,0,7,0,2.00,0.87,1,4
Finder,FINDER,finder,finder,13,6.31,2.14,3,11,1,3.46,1.13,2,6
Finger,FINGER,finger,finger,26,2.77,1.18,1,6,0,1.58,0.58,1,3
finster,FINSTER,dimly-lit,dimly-lit,27,6.15,3.27,2,14,0,3.26,1.63,1,7
Finsternis,FINSTERNIS,darkness,darkness,19,6.32,2.60,3,12,0,3.37,1.21,2,6
Firma,FIRMA,company,company,18,6.56,2.41,3,12,0,3.50,1.10,2,6
Firmament,FIRMAMENT,firmament,firmament,24,11.13,3.04,6,16,0,5.63,1.38,3,7
Fisch,FISCH,fish,fish,17,2.76,1.35,0,5,0,1.65,0.79,1,3
Fischer,FISCHER,fisher,fisher,16,4.63,1.93,2,8,0,2.63,0.89,1,4
Fischerei,FISCHEREI,fishing,fishing,16,6.75,2.82,3,12,1,3.50,1.37,2,6
Fischstäbchen,FISCHSTÄBCHEN,fish fingers,fish fingers,14,5.57,3.50,3,14,0,3.00,1.62,2,7
fit,FIT,fit,fit,14,7.21,1.67,4,10,0,3.79,0.89,2,5
Fitness,FITNESS,fitness,fitness,22,10.77,3.70,5,20,0,5.27,1.24,3,7
Flagge,FLAGGE,flag,flag,22,5.86,2.70,3,13,0,3.14,1.39,2,7
Flamingo,FLAMINGO,flamingo,flamingo,26,8.04,3.99,4,18,0,4.08,1.67,2,7
Flamme,FLAMME,flame,flame,17,4.35,1.27,2,6,0,2.41,0.71,1,3
Flasche,FLASCHE,bottle,bottle,18,3.61,1.75,1,8,0,2.00,0.91,1,4
Flaute,FLAUTE,calm period,calm period,21,9.48,2.87,5,15,0,4.86,1.31,3,7
Flegel,FLEGEL,lout,lout,21,8.52,3.17,4,14,0,4.43,1.63,2,7
Fleisch,FLEISCH,meat,meat,14,3.64,1.65,2,8,0,2.14,0.77,1,4
Fleiß,FLEIß,diligence,diligence,26,6.46,1.53,3,10,0,3.46,0.81,2,5
fleißig,FLEIßIG,diligent,diligent,25,6.16,2.97,2,12,0,3.32,1.44,1,6
flexibel,FLEXIBEL,flexible,flexible,23,10.30,3.36,5,18,0,5.17,1.50,3,7
fliegen,FLIEGEN,fly,fly,19,3.37,1.34,1,5,0,2.00,0.75,1,3
Flieger,FLIEGER,flyer,flyer,14,5.07,2.16,2,10,0,2.71,1.07,1,5
Fliegerei,FLIEGEREI,flying,flying,16,6.38,2.60,3,10,0,3.44,1.21,2,5
fließen,FLIEßEN,float,float,23,4.87,1.79,2,10,0,2.61,0.89,1,5
Flora,FLORA,flora,flora,17,10.18,2.70,7,16,0,5.29,1.16,4,7
Floß,FLOß,raft,raft,24,5.88,2.49,3,12,0,3.17,1.17,2,6
Flöte,FLÖTE,flute,flute,19,4.11,1.79,1,8,0,2.32,0.89,1,4
flott,FLOTT,smart,smart,19,4.74,1.88,2,8,0,2.53,0.96,1,4
Flotte,FLOTTE,fleet,fleet,23,9.43,3.01,5,15,0,4.91,1.41,3,7
Fluch,FLUCH,curse,curse,24,5.96,1.60,3,9,0,3.29,0.81,2,5
Flucht,FLUCHT,escape,escape,19,6.42,2.57,3,12,0,3.47,1.17,2,6
Flüchtling,FLÜCHTLING,refugee,refugee,17,9.94,3.73,4,16,0,5.06,1.68,2,7
Flug,FLUG,flight,flight,25,5.80,2.22,2,10,0,3.12,1.20,1,5
Flughafen,FLUGHAFEN,airport,airport,14,5.36,2.50,3,12,0,2.93,1.27,2,6
Flugzeug,FLUGZEUG,aeroplane,airplane,25,4.20,1.89,1,9,0,2.32,0.95,1,5
Flunder,FLUNDER,flounder,flounder,19,6.95,2.27,3,10,0,3.63,1.07,2,5
Fluss,FLUSS,river,river,19,3.37,1.26,2,6,0,1.89,0.74,1,3
flüssig,FLÜSSIG,liquid,liquid,26,4.23,1.07,3,7,0,2.38,0.57,2,4
Flüssigkeit,FLÜSSIGKEIT,liquid,liquid,25,6.12,2.32,3,11,0,3.24,1.20,2,6
Flut,FLUT,tide,tide,27,7.00,3.39,2,14,0,3.74,1.65,1,7
Fohlen,FOHLEN,foal,foal,10,4.80,1.55,2,8,0,2.60,0.84,1,4
Föhn,FÖHN,hair-drier,hair-drier,18,5.11,2.11,2,10,0,2.72,1.07,1,5
Folge,FOLGE,succession,succession,27,7.07,2.89,2,14,0,3.70,1.46,1,7
Folie,FOLIE,foil,foil,18,7.00,2.99,3,12,0,3.67,1.33,2,6
fordern,FORDERN,claim,claim,14,7.36,2.84,2,14,0,3.93,1.44,1,7
fördern,FÖRDERN,promote,promote,17,8.71,2.89,5,14,0,4.53,1.33,3,7
Forderung,FORDERUNG,demand,demand,23,9.04,2.79,4,15,0,4.65,1.27,2,7
Förderung,FÖRDERUNG,support,support,19,8.89,3.20,3,16,0,4.53,1.35,2,7
Form,FORM,form,form,19,5.68,4.26,2,16,0,3.00,1.94,1,7
Formalität,FORMALITÄT,formality,formality,24,11.04,3.18,6,20,0,5.46,1.22,3,7
Format,FORMAT,format,format,27,9.94,3.03,4,16,0,5.00,1.39,2,7
Formel,FORMEL,formula,formula,27,9.59,2.34,3,14,0,5.00,1.14,2,7
forsch,FORSCH,bold,bold,27,10.41,3.58,5,18,0,5.15,1.43,3,7
Forscher,FORSCHER,researcher,researcher,18,7.11,3.56,3,14,0,3.72,1.71,2,7
Forschung,FORSCHUNG,research,research,15,9.13,2.39,6,14,0,4.80,1.15,3,7
Förster,FÖRSTER,forest warden,forest warden,19,5.84,3.24,2,14,0,3.16,1.61,1,7
Fortschritt,FORTSCHRITT,progress,progress,18,8.11,2.68,3,13,0,4.22,1.31,2,7
fortschrittlich,FORTSCHRITTLICH,progressive,progressive,14,9.50,2.47,6,14,0,4.86,1.17,3,7
fortsetzen,FORTSETZEN,continue,continue,25,6.96,1.77,3,10,0,3.68,0.90,2,5
Fortuna,FORTUNA,Fortune,Fortune,16,12.81,2.86,6,16,1,6.25,1.24,3,7
Forum,FORUM,forum,forum,19,11.32,3.58,6,19,0,5.58,1.39,3,7
Fossil,FOSSIL,fossil,fossil,10,8.50,2.76,6,13,0,4.40,1.51,3,7
Foto,FOTO,photo,photo,17,3.59,1.80,1,8,0,2.00,0.94,1,4
fotogen,FOTOGEN,photogenic,photogenic,19,11.68,4.38,5,24,0,5.63,1.38,3,7
Fotograf,FOTOGRAF,photographer,photographer,24,5.42,2.30,2,12,0,2.92,1.18,1,6
Fracht,FRACHT,freight,freight,14,8.93,2.50,5,14,0,4.64,1.15,3,7
Frage,FRAGE,question,question,19,3.21,1.58,1,7,0,1.84,0.90,1,4
Fraktion,FRAKTION,faction,faction,22,12.86,2.88,8,19,1,6.23,0.97,4,7
Frau,FRAU,woman,woman,25,3.68,2.21,1,10,0,2.08,1.12,1,5
Fräulein,FRÄULEIN,Miss,Miss,19,5.74,2.08,3,10,0,3.05,0.97,2,5
frech,FRECH,cheeky,cheeky,27,4.02,1.80,1,10,0,2.26,0.86,1,5
Frechdachs,FRECHDACHS,cheeky monkey,cheeky monkey,24,4.92,2.50,2,12,0,2.63,1.24,1,6
Frechheit,FRECHHEIT,impertinence,impertinence,23,5.83,1.85,3,10,0,3.09,0.85,2,5
Freiheit,FREIHEIT,freedom,freedom,24,6.63,2.22,3,10,0,3.46,1.06,2,5
freiwillig,FREIWILLIG,voluntary,voluntary,10,6.30,2.83,3,13,0,3.40,1.43,2,7
Freiwilliger,FREIWILLIGER,volunteer,volunteer,24,7.00,2.02,3,11,0,3.79,1.10,2,6
Freizeit,FREIZEIT,spare time,spare time,26,6.38,1.77,4,10,0,3.38,0.80,2,5
fremd,FREMD,strange,strange,18,4.83,2.01,2,9,0,2.67,1.14,1,5
Fremder,FREMDER,stranger,stranger,19,3.74,1.94,1,9,0,2.11,0.99,1,5
Fremdkörper,FREMDKÖRPER,foreign body,foreign body,26,8.96,3.18,4,16,0,4.69,1.49,2,7
Freude,FREUDE,joy,joy,14,4.93,2.79,2,10,0,2.64,1.39,1,5
freudig,FREUDIG,joyful,joyful,25,5.96,2.65,2,12,0,3.24,1.27,1,6
freuen,FREUEN,be glad,be glad,19,3.26,1.15,2,6,0,1.89,0.66,1,3
Freund,FREUND,friend,friend,19,3.42,2.19,1,10,0,1.84,1.07,1,5
Friede,FRIEDE,peace,peace,24,6.17,2.50,3,13,1,3.33,1.24,2,7
Frieden,FRIEDEN,peace,peace,18,5.83,2.31,3,11,0,3.11,1.18,2,6
frieren,FRIEREN,be cold,be cold,26,4.00,1.41,1,7,0,2.19,0.75,1,4
frisch,FRISCH,fresh,fresh,17,4.47,1.94,2,8,0,2.47,1.01,1,4
Frischling,FRISCHLING,young wild boar,young wild boar,24,7.67,4.63,3,25,0,3.83,1.55,2,7
Frischluft,FRISCHLUFT,fresh air,fresh air,24,5.92,2.43,2,10,0,3.29,1.16,1,5
Frist,FRIST,deadline,deadline,25,8.80,2.66,3,14,0,4.68,1.28,2,7
fristen,FRISTEN,eke out,eke out,24,9.96,2.71,4,15,0,5.13,1.33,2,7
fristlos,FRISTLOS,without notice,without notice,26,11.69,3.25,4,16,0,5.77,1.45,2,7
Frisur,FRISUR,hairstyle,hairstyle,19,5.32,2.29,1,10,0,2.95,1.08,1,5
froh,FROH,cheerful,cheerful,19,3.42,1.46,1,7,0,1.95,0.78,1,4
Frohnatur,FROHNATUR,cheerful person,cheerful person,13,10.62,2.57,6,16,0,5.38,1.12,3,7
Frosch,FROSCH,frog,frog,16,3.63,1.41,2,7,0,2.06,0.77,1,4
Frost,FROST,frost,frost,18,5.78,2.71,3,12,0,3.06,1.26,2,6
frostig,FROSTIG,frosty,frosty,14,6.50,2.79,2,12,0,3.43,1.45,1,6
Frühjahr,FRÜHJAHR,spring,spring,15,5.27,2.12,2,9,0,2.87,1.13,1,5
Frustration,FRUSTRATION,frustration,frustration,24,10.13,2.94,6,17,0,5.17,1.27,3,7
Fuchs,FUCHS,fox,fox,26,3.42,0.90,1,5,0,1.96,0.45,1,3
fühlen,FÜHLEN,feel,feel,14,5.71,2.87,3,12,0,3.14,1.35,2,6
Fühler,FÜHLER,antenna,antenna,19,5.47,2.34,3,12,0,3.05,1.08,2,6
Führung,FÜHRUNG,leadership,leadership,26,7.81,2.28,4,14,0,4.04,1.18,2,7
füllen,FÜLLEN,fill,fill,14,5.64,1.98,2,9,0,3.00,1.04,1,5
Füller,FÜLLER,fountain pen,fountain pen,18,5.61,1.91,3,11,0,3.06,1.00,2,6
Füllung,FÜLLUNG,filling,filling,10,6.30,0.67,5,7,0,3.40,0.52,3,4
Fund,FUND,discovery,discovery,19,7.32,2.54,3,12,0,3.89,1.29,2,6
Fundament,FUNDAMENT,foundations,foundations,20,10.40,4.52,4,20,0,4.85,1.63,2,7
Fundbüro,FUNDBÜRO,lost property office,lost property office,19,8.84,2.48,4,12,0,4.53,1.22,2,6
Funke,FUNKE,spark,spark,18,5.39,1.91,2,10,0,2.83,0.99,1,5
Funker,FUNKER,radio operator,radio operator,19,8.58,3.52,4,16,0,4.37,1.64,2,7
Funkgerät,FUNKGERÄT,radio set,radio set,22,7.45,2.60,4,13,0,3.91,1.34,2,7
fürchten,FÜRCHTEN,fear,fear,14,4.21,1.31,3,7,0,2.36,0.63,2,4
Fusion,FUSION,merger,merger,17,13.88,2.96,8,20,0,6.41,0.87,4,7
Fuß,FUß,foot,foot,14,2.93,1.64,1,8,0,1.71,0.83,1,4
Fußball,FUßBALL,football,football,20,3.45,1.32,2,6,0,1.90,0.72,1,3
Futter,FUTTER,fodder,fodder,26,4.00,1.41,2,8,0,2.27,0.72,1,4
Gabe,GABE,gift,gift,18,7.28,2.65,3,12,0,3.89,1.18,2,6
Gabel,GABEL,fork,fork,19,2.74,1.05,1,5,0,1.63,0.60,1,3
Gabelstapler,GABELSTAPLER,forklift truck,forklift truck,26,7.54,4.25,0,15,0,3.92,1.96,1,7
Gabelung,GABELUNG,fork junction,fork junction,13,8.00,1.91,5,11,0,4.15,0.99,3,6
Gala,GALA,gala,gala,18,11.72,3.69,5,20,0,5.67,1.19,3,7
Galle,GALLE,gall,gall,24,10.42,2.59,7,15,0,5.38,1.17,4,7
Galopp,GALOPP,gallop,gallop,15,5.73,2.46,2,11,0,3.07,1.33,1,6
Gang,GANG,gait,gait,10,5.40,1.84,3,8,0,3.00,0.82,2,4
Gangster,GANGSTER,gangster,gangster,16,8.25,2.84,3,14,0,4.31,1.35,2,7
Ganove,GANOVE,crook,crook,25,8.84,2.79,3,16,0,4.56,1.29,2,7
Gans,GANS,goose,goose,26,3.31,1.01,2,6,0,2.00,0.57,1,3
Garage,GARAGE,garage,garage,19,4.05,1.31,2,7,0,2.32,0.67,1,4
Garantie,GARANTIE,guarantee,guarantee,17,10.29,2.82,5,14,0,5.29,1.40,3,7
garantiert,GARANTIERT,guaranteed,guaranteed,19,9.11,2.85,5,16,0,4.74,1.19,3,7
Garten,GARTEN,garden,garden,19,3.42,1.43,1,6,0,1.89,0.81,1,3
Gast,GAST,guest,guest,24,5.25,1.65,3,8,0,2.88,0.80,2,4
Gatte,GATTE,spouse,spouse,26,9.46,3.19,4,16,0,4.85,1.46,2,7
Gauner,GAUNER,rogue,rogue,25,6.40,2.43,3,14,0,3.40,1.15,2,7
Gazelle,GAZELLE,gazelle,gazelle,18,6.31,2.37,2.5,12,0,3.39,1.20,1,6
geben,GEBEN,give,give,19,3.47,1.39,2,6,0,1.84,0.69,1,3
Gebiet,GEBIET,territory,territory,522,7.35,2.55,2,16,0,3.86,1.25,1,7
Gebieter,GEBIETER,master,master,26,9.73,2.92,4,15,0,5.04,1.43,2,7
Gebot,GEBOT,bid,bid,18,7.94,3.32,3,15,0,4.11,1.49,2,7
Geburt,GEBURT,birth,birth,19,5.79,4.38,2,18,0,3.05,1.81,1,7
Geburtstag,GEBURTSTAG,birthday,birthday,24,3.00,0.83,2,5,0,1.75,0.53,1,3
Gedanke,GEDANKE,thought,thought,14,7.00,2.04,4,10,0,3.64,0.93,2,5
gedenken,GEDENKEN,commemorate,commemorate,10,9.00,2.40,6,12,0,4.60,1.17,3,6
Gedicht,GEDICHT,poem,poem,19,5.16,1.77,2,8,0,2.74,0.93,1,4
Geduld,GEDULD,patience,patience,19,5.68,2.43,2,12,0,3.16,1.17,1,6
gefährden,GEFÄHRDEN,endanger,endanger,17,8.06,2.84,3,13,0,4.29,1.36,2,7
Gefühl,GEFÜHL,feeling,feeling,19,5.00,3.32,1,15,0,2.68,1.53,1,7
Gegend,GEGEND,region,region,24,6.92,3.50,3,20,0,3.54,1.28,2,7
Gegensatz,GEGENSATZ,contrary,contrary,10,5.90,0.99,4,7,0,3.20,0.63,2,4
Gegenteil,GEGENTEIL,opposite,opposite,20,5.65,1.95,3,10,0,3.10,0.91,2,5
Gegner,GEGNER,opponent,opponent,26,7.19,3.05,2,14,0,3.77,1.50,1,7
geheim,GEHEIM,in secret,in secret,23,5.17,1.75,2,8,0,2.83,0.89,1,4
Geheimnis,GEHEIMNIS,secret,secret,18,5.61,2.55,3,12,0,3.17,1.20,2,6
geheimnisvoll,GEHEIMNISVOLL,mysterious,mysterious,18,6.33,2.30,2,12,0,3.39,1.20,1,6
gehen,GEHEN,walk,walk,23,2.87,1.29,1,6,0,1.65,0.65,1,3
Geheul,GEHEUL,howling,howling,15,4.47,1.92,1,7,0,2.60,0.99,1,4
Gehirn,GEHIRN,brain,brain,16,6.00,2.16,2,10,0,3.06,1.06,1,5
gehören,GEHÖREN,belong,belong,25,4.40,1.91,2,10,0,2.44,0.96,1,5
Geier,GEIER,vulture,vulture,16,4.94,2.52,2,12,0,2.63,1.31,1,6
Geige,GEIGE,violin,violin,15,5.13,1.85,3,10,0,2.80,0.86,2,5
Geigenmusik,GEIGENMUSIK,violin music,violin music,19,6.11,3.30,3,16,0,3.21,1.47,2,7
Geiger,GEIGER,violinist,violinist,19,6.11,2.64,3,10,0,3.21,1.32,2,5
Geist,GEIST,ghost,ghost,27,6.22,3.56,2,18,0,3.30,1.49,1,7
